id,human,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B
A.dev.0515,0.400000,0.960000,1.080000,0.680000
A.dev.0517,0.357000,0.357000,0.286000,0.214000
A.dev.0522,0.200000,0.200000,0.200000,0.200000
A.dev.0526,0.421000,0.158000,0.211000,0.105000
A.dev.0542,0.211000,0.211000,0.211000,0.263000
A.dev.0546,0.333000,0.250000,0.333000,0.333000
A.dev.0549,0.222000,0.444000,0.889000,0.111000
A.dev.0551,0.261000,0.261000,0.261000,0.130000
A.dev.0554,0.095000,0.143000,0.286000,0.095000
A.dev.0563,0.130000,0.565000,0.174000,0.217000
A.dev.0566,0.062000,0.125000,0.312000,0.250000
A.dev.0575,0.400000,0.200000,0.000000,0.000000
A.dev.0580,0.263000,0.105000,0.158000,0.211000
A.dev.0581,0.143000,0.286000,0.286000,0.143000
A.dev.0583,0.467000,0.000000,0.067000,0.067000
A.dev.0587,0.500000,0.375000,0.125000,0.125000
A.dev.0603,0.083000,0.250000,0.417000,0.167000
A.dev.0606,0.250000,0.333000,0.417000,0.250000
A.dev.0609,0.125000,0.125000,0.125000,0.125000
A.dev.0648,0.278000,0.056000,0.167000,0.278000
A.dev.0651,0.143000,0.143000,0.143000,0.214000
A.dev.0653,0.083000,0.500000,0.167000,0.083000
A.dev.0658,0.143000,0.000000,0.071000,0.071000
A.dev.0670,0.111000,0.611000,0.056000,0.056000
A.dev.0675,0.100000,0.100000,0.100000,0.100000
A.dev.0686,0.194000,0.226000,0.387000,0.323000
A.dev.0691,0.706000,0.647000,0.529000,0.412000
A.dev.0693,0.292000,0.750000,0.250000,0.292000
A.dev.0701,0.111000,0.778000,0.556000,0.222000
A.dev.0702,0.161000,0.161000,0.290000,0.355000
A.dev.0705,0.083000,0.000000,0.083000,0.167000
A.dev.0711,0.250000,0.250000,0.250000,0.000000
A.dev.0721,0.083000,0.250000,0.333000,0.208000
A.dev.0737,0.344000,0.906000,0.438000,0.312000
A.dev.0741,0.133000,0.133000,0.067000,0.200000
A.dev.0748,0.100000,0.100000,0.300000,0.100000
A.dev.0757,0.083000,0.083000,0.083000,0.042000
A.dev.0758,0.417000,0.458000,0.708000,0.708000
A.dev.0763,0.429000,0.929000,0.929000,0.143000
A.dev.0765,0.278000,0.500000,0.667000,0.500000
A.dev.0767,0.167000,0.167000,0.056000,0.111000
A.dev.0796,0.188000,0.188000,0.250000,0.125000
A.dev.0805,0.214000,0.071000,0.143000,0.214000
A.dev.0808,0.029000,0.171000,0.200000,0.114000
A.dev.0814,0.208000,0.292000,0.250000,0.250000
A.dev.0816,0.273000,0.273000,0.273000,0.273000
A.dev.0819,0.125000,0.625000,0.250000,0.375000
A.dev.0826,0.238000,0.048000,0.286000,0.143000
A.dev.0831,0.176000,0.235000,0.294000,0.294000
A.dev.0837,0.111000,0.222000,0.000000,0.000000
A.dev.0842,0.111000,0.000000,0.000000,0.000000
A.dev.0843,0.059000,0.118000,0.000000,0.118000
A.dev.0847,0.176000,0.353000,0.176000,0.353000
A.dev.0848,0.250000,0.375000,0.125000,0.750000
A.dev.0851,0.083000,0.167000,0.083000,0.083000
A.dev.0859,0.125000,0.062000,0.156000,0.219000
A.dev.0863,0.192000,0.115000,0.154000,0.154000
A.dev.0867,0.103000,0.128000,0.385000,0.179000
A.dev.0873,0.333000,0.333000,0.333000,0.333000
A.dev.0877,0.440000,0.400000,0.440000,0.400000
A.dev.0879,0.222000,0.556000,0.556000,0.222000
A.dev.0884,0.200000,0.267000,0.333000,0.333000
A.dev.0885,0.188000,0.125000,0.125000,0.250000
A.dev.0886,0.250000,0.250000,0.167000,0.167000
A.dev.0887,0.143000,0.143000,0.143000,0.143000
A.dev.0898,0.065000,0.419000,0.097000,0.032000
A.dev.0910,0.333000,0.750000,0.333000,0.458000
A.dev.0911,0.080000,0.640000,0.440000,0.240000
A.dev.0913,0.133000,0.133000,0.200000,0.133000
A.dev.0914,0.200000,0.200000,0.200000,0.000000
A.dev.0923,0.077000,0.154000,0.154000,0.154000
A.dev.0930,0.222000,0.111000,0.333000,0.111000
A.dev.0937,0.118000,0.294000,0.353000,0.118000
A.dev.0941,0.083000,0.083000,0.083000,0.083000
A.dev.0953,0.133000,0.133000,0.133000,0.133000
A.dev.0961,0.125000,0.375000,0.125000,0.125000
A.dev.0964,0.222000,0.111000,0.111000,0.111000
A.dev.0966,0.067000,0.467000,0.067000,0.067000
A.dev.0967,0.333000,0.500000,0.000000,0.500000
A.dev.0969,0.238000,0.095000,0.095000,0.143000
A.dev.0979,0.067000,0.133000,0.000000,0.067000
A.dev.0980,0.231000,0.462000,1.000000,0.308000
A.dev.0990,0.176000,0.000000,0.412000,0.118000
A.dev.0991,0.056000,0.556000,0.222000,0.278000
A.dev.0992,0.250000,0.125000,0.125000,0.125000
A.dev.0993,0.083000,0.375000,0.292000,0.208000
A.dev.0996,0.400000,0.533000,0.133000,0.133000
A.dev.1001,0.121000,0.303000,0.121000,0.091000
A.dev.1006,0.200000,0.120000,0.440000,0.080000
A.dev.1008,0.067000,0.133000,0.133000,0.067000
A.dev.1011,0.250000,0.250000,0.167000,0.167000
A.dev.1013,0.143000,0.143000,0.143000,0.143000
A.dev.1020,0.103000,0.000000,0.138000,0.138000
A.dev.1021,0.062000,0.062000,0.375000,0.125000
A.dev.1024,0.059000,0.294000,0.588000,0.235000
A.dev.1025,0.083000,0.250000,0.167000,0.083000
A.dev.1026,0.214000,0.357000,0.429000,0.214000
A.dev.1027,0.087000,0.652000,0.609000,0.130000
A.dev.1029,0.208000,0.042000,0.333000,0.167000
A.dev.1035,0.200000,0.200000,0.000000,0.200000
